participant_id,trial_number,abandoned,goal_achieved,shape_0_type,shape_0_shade,shape_0_texture,shape_1_type,shape_1_shade,shape_1_texture,shape_2_type,shape_2_shade,shape_2_texture
m5uvmxz17x573m85x41byy1e,19,False,True,triangle,medium,plain,triangle,medium,dots,triangle,medium,stripes
m5uvmxz17x573m85x41byy1e,20,True,False,triangle,high,plain,triangle,low,dots,triangle,low,stripes
m5uvmxz17x573m85x41byy1e,21,False,True,square,high,stripes,square,high,stripes,square,high,stripes
m5uvmxz17x573m85x41byy1e,22,False,True,circle,high,stripes,square,high,stripes,circle,high,stripes
m5uvmxz17x573m85x41byy1e,23,True,False,square,high,dots,circle,high,dots,triangle,high,dots
m5uvmxz17x573m85x41byy1e,24,False,True,square,low,plain,square,low,stripes,square,low,stripes
m5uvmxz17x573m85x41byy1e,25,False,True,square,low,plain,square,low,plain,square,low,plain
m5uvmxz17x573m85x41byy1e,26,False,True,square,medium,plain,square,medium,plain,square,medium,plain
hnbc1nhhwyd6f1x09lp4r2yy,1,False,True,circle,high,stripes,triangle,medium,dots,square,medium,stripes
hnbc1nhhwyd6f1x09lp4r2yy,2,False,True,circle,high,plain,triangle,medium,dots,square,medium,dots
hnbc1nhhwyd6f1x09lp4r2yy,3,False,True,square,high,plain,circle,high,plain,triangle,high,plain
hnbc1nhhwyd6f1x09lp4r2yy,4,False,True,circle,high,plain,square,medium,plain,circle,medium,stripes
hnbc1nhhwyd6f1x09lp4r2yy,5,False,True,square,medium,plain,triangle,medium,stripes,triangle,medium,dots
hnbc1nhhwyd6f1x09lp4r2yy,6,False,True,square,medium,stripes,square,high,stripes,square,high,plain
hnbc1nhhwyd6f1x09lp4r2yy,7,False,True,circle,medium,plain,square,medium,stripes,triangle,medium,dots
hnbc1nhhwyd6f1x09lp4r2yy,8,False,True,triangle,high,stripes,square,high,plain,square,medium,plain
hnbc1nhhwyd6f1x09lp4r2yy,9,False,True,square,high,stripes,circle,high,plain,circle,medium,plain
hnbc1nhhwyd6f1x09lp4r2yy,10,False,True,square,medium,plain,circle,high,plain,circle,medium,stripes
hnbc1nhhwyd6f1x09lp4r2yy,11,False,True,triangle,high,plain,square,high,stripes,square,high,dots
hnbc1nhhwyd6f1x09lp4r2yy,12,False,True,square,high,plain,circle,high,plain,circle,high,plain
hnbc1nhhwyd6f1x09lp4r2yy,13,False,True,square,medium,dots,circle,medium,dots,circle,high,dots
hnbc1nhhwyd6f1x09lp4r2yy,14,False,True,circle,high,stripes,circle,high,dots,square,high,dots
hnbc1nhhwyd6f1x09lp4r2yy,15,False,True,square,high,plain,square,medium,plain,circle,medium,plain
hnbc1nhhwyd6f1x09lp4r2yy,16,False,True,square,medium,plain,circle,high,plain,triangle,medium,stripes
hnbc1nhhwyd6f1x09lp4r2yy,17,False,True,square,high,plain,triangle,high,plain,triangle,medium,stripes
