shape1_sides,shape1_shade,shape1_texture,shape2_sides,shape2_shade,shape2_texture,shape3_sides,shape3_shade,shape3_texture,value,metric,metric_value
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,19683.0,total_states,19683.0
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,1.0452057742310603,std_value,1.0452057742310603
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,-7.467111241422956,max_value,-7.467111241422956
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,-10.644138722445613,mean_value,-10.644138722445613
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,-12.693600466219191,min_value,-12.693600466219191
circle,medium,plain,circle,medium,stripes,circle,medium,dots,-7.467111241422956,,
triangle,medium,dots,triangle,medium,dots,triangle,medium,stripes,-7.467111241422956,,
square,medium,stripes,square,medium,stripes,square,medium,plain,-7.467111241422956,,
square,medium,stripes,square,medium,dots,square,medium,dots,-7.467111241422956,,
square,medium,stripes,square,medium,stripes,square,medium,dots,-7.467111241422956,,
square,medium,stripes,square,medium,plain,square,medium,dots,-7.467111241422956,,
square,medium,plain,square,medium,plain,square,medium,stripes,-7.467111241422956,,
square,medium,dots,square,medium,dots,square,medium,plain,-7.467111241422956,,
square,medium,plain,square,medium,plain,square,medium,plain,-7.467111241422956,,
square,medium,plain,square,medium,plain,square,medium,dots,-7.467111241422956,,
square,medium,dots,square,medium,plain,square,medium,plain,-7.467111241422956,,
square,medium,dots,square,medium,plain,square,medium,dots,-7.467111241422956,,
circle,medium,dots,circle,medium,dots,circle,medium,dots,-7.467111241422956,,
triangle,medium,dots,triangle,medium,stripes,triangle,medium,plain,-7.467111241422956,,
triangle,medium,plain,triangle,medium,plain,triangle,medium,stripes,-7.467111241422956,,
triangle,medium,plain,triangle,medium,stripes,triangle,medium,stripes,-7.467111241422956,,
triangle,medium,stripes,triangle,medium,plain,triangle,medium,plain,-7.467111241422956,,
triangle,medium,plain,triangle,medium,stripes,triangle,medium,dots,-7.467111241422956,,
triangle,medium,stripes,triangle,medium,stripes,triangle,medium,stripes,-7.467111241422956,,
square,medium,plain,square,medium,stripes,square,medium,stripes,-7.467111241422956,,
triangle,medium,plain,triangle,medium,dots,triangle,medium,dots,-7.467111241422956,,
