program,log_probability
"and(two(same,(1,2)),three(unique))",-9.169518377455928
"and(three(unique),two(unique,(0,2)))",-9.169518377455928
"and(two(unique),three(3,unique))",-9.169518377455928
"and(two(unique),two(same,(0,1)))",-9.169518377455928
"and(two(unique),two(same,(0,2)))",-9.169518377455928
"and(three(same),three(2,same))",-9.169518377455928
"and(two(same,(1,2)),two(same))",-9.169518377455928
"and(two(unique,(0,1)),three(unique))",-9.169518377455928
"and(two(unique,(0,1)),three(same))",-9.169518377455928
"and(two(unique,(0,1)),two(unique))",-9.169518377455928
"and(two(unique,(0,1)),two(same))",-9.169518377455928
"and(two(same,(1,2)),two(unique))",-9.169518377455928
"and(two(same,(1,2)),three(same))",-9.169518377455928
"and(three(same),three(1,unique))",-9.169518377455928
"and(three(same),three(1,same))",-9.169518377455928
"and(three(same),two(3,unique))",-9.169518377455928
"and(three(same),two(3,same))",-9.169518377455928
"and(three(same),two(2,unique))",-9.169518377455928
"and(three(same),two(2,same))",-9.169518377455928
"and(three(same),two(1,unique))",-9.169518377455928
"and(three(same),two(1,same))",-9.169518377455928
"and(two(2,same),three(same))",-9.169518377455928
"and(three(same),three(2,unique))",-9.169518377455928
"and(three(same),three(3,same))",-9.169518377455928
"and(three(unique),two(1,same))",-9.169518377455928
"and(three(unique),three(3,same))",-9.169518377455928
"and(two(unique),two(same,(1,2)))",-9.169518377455928
"and(two(unique),two(unique,(0,1)))",-9.169518377455928
"and(two(unique),two(unique,(0,2)))",-9.169518377455928
"and(two(unique),two(unique,(1,2)))",-9.169518377455928
"and(three(unique),two(same,(0,2)))",-9.169518377455928
"and(three(unique),two(same,(0,1)))",-9.169518377455928
"and(three(unique),three(3,unique))",-9.169518377455928
"and(three(unique),three(2,unique))",-9.169518377455928
"and(three(unique),two(1,unique))",-9.169518377455928
"and(three(unique),three(2,same))",-9.169518377455928
"and(three(unique),three(1,unique))",-9.169518377455928
"and(three(unique),three(1,same))",-9.169518377455928
"and(three(unique),two(3,unique))",-9.169518377455928
"and(three(unique),two(3,same))",-9.169518377455928
"and(three(unique),two(2,unique))",-9.169518377455928
"and(three(unique),two(2,same))",-9.169518377455928
"and(two(2,same),two(unique))",-9.169518377455928
"and(two(3,same),two(unique))",-9.169518377455928
"and(three(1,same),two(unique))",-9.169518377455928
"and(two(same),two(3,unique))",-9.169518377455928
"and(two(same),two(2,same))",-9.169518377455928
"and(two(same),two(1,unique))",-9.169518377455928
"and(two(same),two(1,same))",-9.169518377455928
"and(two(same,(0,1)),two(same))",-9.169518377455928
"and(three(3,unique),three(unique))",-9.169518377455928
"and(three(3,unique),three(same))",-9.169518377455928
"and(three(3,unique),two(unique))",-9.169518377455928
"and(three(3,unique),two(same))",-9.169518377455928
"and(two(3,same),two(same))",-9.169518377455928
"and(three(1,unique),two(unique))",-9.169518377455928
"and(two(unique,(1,2)),two(same))",-9.169518377455928
"and(two(unique,(1,2)),two(unique))",-9.169518377455928
"and(two(unique,(1,2)),three(same))",-9.169518377455928
"and(two(unique,(1,2)),three(unique))",-9.169518377455928
"and(two(3,same),three(same))",-9.169518377455928
"and(two(3,same),three(unique))",-9.169518377455928
"and(two(3,unique),two(same))",-9.169518377455928
"and(two(3,unique),two(unique))",-9.169518377455928
"and(two(3,unique),three(same))",-9.169518377455928
"and(two(3,unique),three(unique))",-9.169518377455928
"and(three(1,unique),two(same))",-9.169518377455928
"and(three(2,unique),three(same))",-9.169518377455928
"and(three(2,unique),three(unique))",-9.169518377455928
"and(three(3,same),two(same))",-9.169518377455928
"and(three(3,same),two(unique))",-9.169518377455928
"and(three(1,same),three(unique))",-9.169518377455928
"and(three(3,same),three(same))",-9.169518377455928
"and(three(3,same),three(unique))",-9.169518377455928
"and(three(1,same),two(same))",-9.169518377455928
"and(two(same),two(2,unique))",-9.169518377455928
"and(two(same),two(3,same))",-9.169518377455928
"and(two(same),two(same,(0,2)))",-9.169518377455928
"and(two(same),two(same,(0,1)))",-9.169518377455928
"and(two(2,same),three(unique))",-9.169518377455928
"and(two(2,unique),two(same))",-9.169518377455928
"and(two(2,unique),two(unique))",-9.169518377455928
"and(three(2,unique),two(same))",-9.169518377455928
"and(three(2,unique),two(unique))",-9.169518377455928
"and(three(2,same),three(unique))",-9.169518377455928
"and(three(2,same),three(same))",-9.169518377455928
"and(two(2,unique),three(same))",-9.169518377455928
"and(two(same),two(unique,(1,2)))",-9.169518377455928
"and(two(same),two(unique,(0,2)))",-9.169518377455928
"and(two(same),two(unique,(0,1)))",-9.169518377455928
"and(two(same),two(same,(1,2)))",-9.169518377455928
"and(two(same),three(1,same))",-9.169518377455928
"and(three(1,same),three(same))",-9.169518377455928
"and(two(2,unique),three(unique))",-9.169518377455928
"and(three(1,unique),three(unique))",-9.169518377455928
"and(two(same),three(1,unique))",-9.169518377455928
"and(two(same),three(2,same))",-9.169518377455928
"and(two(same),three(2,unique))",-9.169518377455928
"and(two(same),three(3,same))",-9.169518377455928
"and(two(same,(0,1)),three(unique))",-9.169518377455928
"and(three(1,unique),three(same))",-9.169518377455928
"and(three(2,same),two(same))",-9.169518377455928
"and(three(2,same),two(unique))",-9.169518377455928
"and(two(same),three(3,unique))",-9.169518377455928
"and(two(same,(0,1)),two(unique))",-9.169518377455928
"and(two(same,(0,1)),three(same))",-9.169518377455928
"and(two(square),two(same))",-9.574983485564092
"and(three(unique),three(low))",-9.574983485564092
"and(one(plain),two(same))",-9.574983485564092
"and(one(plain),two(unique))",-9.574983485564092
"and(one(dots),two(same))",-9.574983485564092
"and(one(plain),three(same))",-9.574983485564092
"and(three(unique),two(stripes))",-9.574983485564092
"and(three(unique),two(medium))",-9.574983485564092
"and(three(unique),two(high))",-9.574983485564092
"and(three(unique),two(plain))",-9.574983485564092
